id,artist,title,medium,year
47782,"turner, joseph mallord william",[title not known],graphite on paper,1826
24175,"dance-holland, sir nathaniel",[title not known],graphite on paper,
57608,"turner, joseph mallord william",prague: the castle and cathedral from the north-east with an extensive view up the vltava; prague: the castle and cathedral with an extensive view up the vltava,graphite on paper,1835
62127,"turner, joseph mallord william",the rigi,watercolour on paper,1844
95744,"sarmento, julião",untitled (bataille),50 digital prints on paper mounted onto fibreboard panels,1976
32912,"turner, joseph mallord william",study for ‘dido and aeneas’,pen and ink on paper,1805
61060,"turner, joseph mallord william",ruined castle on rock,chalk and graphite on paper,1830
49166,"turner, joseph mallord william","view of rome: the arches of constantine and titus, the meta sudans, the temple of venus and rome, and the colosseum",graphite on paper,1828
16418,wols,[no title],etching and drypoint on paper,1937
30461,"turner, joseph mallord william","buildings, with a mountain beyond and loch to the right; killin, with ben lawers and loch tay",graphite on paper,1801
61558,"turner, joseph mallord william","town, with windmill, beside river",graphite and watercolour on paper,1830
13557,"smith, richard",folded paper clip iii,lithograph on papers and 4 metal paperclips,1975
99436,"roberts, william",study for ‘moving day’,graphite and watercolour on paper,1968
57532,"turner, joseph mallord william",four sketches of schönbühel castle and monastery plus details,graphite on paper,1833
41693,"turner, joseph mallord william",?a fountain,graphite on paper,1819
80495,"rosenquist, james",sky hole,"paper, acrylic paint, dye and lithograph on paper",1989
9125,"mclean, bruce",large warhead,screenprint on paper,1984
34392,"turner, joseph mallord william","tabley house from the moat, with the water tower; study for ‘tabley, cheshire, the seat of sir j.f. leicester, bart.: windy day’",ink on paper,1808
44997,"turner, joseph mallord william",sketches of leith harbour; edinburgh from the north-west; and a yacht of the royal squadron,graphite on paper,1822
27535,"turner, joseph mallord william","windsor castle: st george’s chapel, with the entrance to horse-shoe cloisters",graphite on paper,1792
52110,"turner, joseph mallord william","french coast, probably the estuary of the seine","chalk, gouache and watercolour on paper",1830
89530,"metzger, gustav",projects realised 1 (monument to bloody sunday),"photograph, black and white, on paper mounted onto aluminium",1972
53322,"turner, joseph mallord william",the coast of berwick-upon-tweed,graphite on paper,1831
3101,"daniell, william","mingarry castle, argyllshire",copper plate,1814
38955,"turner, joseph mallord william",levens estuary and coniston old man from the shore near conishead priory,graphite on paper,1816
38461,"turner, joseph mallord william",giggleswick,graphite on paper,1816
126367,"doig, peter",untitled,oil paint on paper,2008
100712,"nelson, mike","heroin room, (the coral reef) 2000",digital print on paper,2007
60488,"turner, joseph mallord william",buildings from river,graphite on paper,1841
53418,"turner, joseph mallord william",ashestiel from the east along the river tweed,graphite on paper,1831
54207,"turner, joseph mallord william","gylen castle, kerrera from the south-west",graphite on paper,1831
41514,"turner, joseph mallord william","the church of san giuseppe at luino, lake maggiore",graphite on paper,1819
29617,"turner, joseph mallord william",view of oxford from headington hill,graphite on paper,1799
6073,"hepworth, dame barbara",bronze form (patmos),bronze,1962
101092,"zaatari, akram","anonymous. south lebanon, 1952. hashem el madani","photograph, gelatin silver print on paper",2007
46836,"turner, joseph mallord william",view of rotterdam: the entrance to the oude haven seen towards the river,graphite on paper,1825
35488,"turner, joseph mallord william",a lake and hills: ?ullswater,watercolour on paper,1807
42992,"turner, joseph mallord william","part of a view of castel dell’ovo, naples, from the chiaia waterfront",graphite on paper,1819
37726,"turner, joseph mallord william",design for classical composition,graphite on paper,1816
46490,"turner, joseph mallord william","shipping, with distant view of aix [turner] (-la-chapelle)",graphite on paper,1825
45840,"turner, joseph mallord william",mercury and argus,graphite on paper,1810
10657,"nicholson, ben, om",untitled,etching on paper,1967
55990,"turner, joseph mallord william",sketch,graphite on paper,1834
56680,"turner, joseph mallord william",buildings on hill,graphite on paper,1835
